Title,Author,Year,Updated,Tags
"creative work test migration","Stein Magne Bjørklund, Maria Engberg",1984,"11/30/2021 - 10:34","#TwitterFiction Festival, 140 characters"
Postmoderne,"Richard Holeton",2021,"07/29/2021 - 00:21",
"Agent Ruby","Lynn Hershman Leeson",1999,"07/16/2021 - 19:34","chatbot, chatbots, mobile apps, interactive web"
Aa-Kwartier,"Chantalla Pleiter, Jean-Pierre Rawie",2018,"07/12/2021 - 14:56","poem, VR, virtual reality, card, city"
"Liberty Ring!","Stephanie Strickland, Ian Hatcher",2020,"07/11/2021 - 19:28",
"Ringing the Changes","Stephanie Strickland",2020,"07/11/2021 - 15:48",
byfarihah,"Rachel Visser",2019,"07/09/2021 - 11:22","instagram, insta novel, refugee, teenager, visual novel, images, government"
"Apart Samen","Micha Hamel, Demian Albers",2021,"07/05/2021 - 13:46","#virtual reality #vr #love #relationship #feelings #childhood memories #childhood #youth #adulthood #feelings #walk #love"
"Unnatural Habitats","Kathy Mac",1994,"07/02/2021 - 17:38","Eastgate Quarterly Review of Hypertext, hypertext poem"
Sonnettengenerator,"Emiel van Miltenburg",2021,"07/02/2021 - 15:15","#sonnet generator #generator #poem #poetry"
"De sonnettengenerator",Olax,2017,"07/02/2021 - 15:08","#sonnet #sonnet generator #mozart #poem #poetry #rhyme scheme #rhyme #iambic #pentameter"
Sonnettengenerator,"Pieter Breman",2017,"07/02/2021 - 14:42","#french #poet #poetry #poem #raymondqueneau #queneau # sonnet #rhyme  #sonnetgenerator #generator"
Survival,,2017,"06/14/2021 - 22:54","adventure game, android app, applications"
"We zijn begonnen","Tsead Bruinja, Lisa Voss, Kirsten Aussel, Seth Laisina, Lea Mrowka",2009,"06/11/2021 - 14:19","students, poetry, poetry collection, start, overwoekerd, animation, typography, sound, interaction, image"
"c ya laterrrr","Dan Hett",2017,"06/11/2021 - 13:23","interactive narrative, twine, hypertext game, new media writing prize, trauma narrative, trauma, loss, family, death"
"Botanicals: An E-Literary Approach to Cultivating Pedagogical Platforms","Erin Kathleen Bahl",2021,"06/13/2021 - 22:37","pedagogy, online learning, webcomics, critical making"
"Science Data Center for Literature - Archive and Research of Net Literature and Born-Digitals","Claus-Michael Schlesinger",2021,"06/10/2021 - 11:55","archive, repository, research, net literature, Blogs, digital humanities, born-digital"
"Tenure Track: A Critical Simulation Game","Devin Shepherd, Bradley Shepherd, Will McEnery",2021,"06/10/2021 - 11:38","game, VR, virtual reality, simulation, OOO, object-oriented ontology, post-humanism, elit, game studies, electronic literature, serious games"
"The Mediapoetry Laboratory 101: new forms of creative cooperation","Daria Petrova",2021,"06/10/2021 - 11:29","mediapoetry, laboratory, teenagers, collaboration, Platform culture"
"Melankofil: Digte om et år der er gået over","Bianca Fløe",2017,"06/08/2021 - 16:26",
"Café de Pao","Regina Célia Pinto",2008,"06/05/2021 - 13:40",
"The Dancing Rhinoceri of Bangladesh","Millie Niss",2002,"06/05/2021 - 13:36","interacitve poem, interactive poetry, surrealist"
Portal,"Yael Kanarek, Evann Siebens, Meeyoung Kim, Yoav Gal",2003,"06/05/2021 - 13:14","interactive, virtual world, spatial relationships, New York City"
"Alice in the 'Wonderbalcony'","Muriel Frega",2004,"06/05/2021 - 13:42","Lewis Carroll, perspective, fantasy, metaphor"
"Het land binnen de muren","Carolina Trujillo, Daan Heerma van Voss, Gustaaf Peek, Allard Schröder, Niña Weijers",2014,"05/31/2021 - 16:55","marine, Amsterdam, military, shipyard, helicopter, safe heaven, interactive story, writers, land"
"Laatste Woord","Udo Prinsen, Pauline Genee",2015,"05/31/2021 - 16:38","literary, audio walk, audio, forest, voice, family history, parting, punishment, insanity, acknowledgement, direction, decisions, perspective, story, connection, place, locative narrative"
Dustin,"Niels 't Hooft",2020,"05/31/2021 - 14:45","machine, vacuum cleaner, interactive, application, app, iphone, cleaning, friends, personal, game, participation, decisions"
"Tom Tells","Elmar Kuiper, Selby Gildemacher",2012,"05/31/2021 - 14:07","iphone, app, navigation, application, traveling, poetry, loneliness, homecoming, temptation, disguise, identity, exile, trip, odyssey, HAL 9000, trust, life"
Toiletten,"Niels 't Hooft",2013,"05/31/2021 - 13:48","toilets, audio book, audio, love, apartment, humour, first love"
"Word Drawings","Johannah Rodgers",2004,"05/29/2021 - 20:05",
"Wealth Begins With Human Need: Machines Can’t “Read,” or Remediating Chapter One of Marx’s Capital, Volume 1","Johannah Rodgers",2015,"05/29/2021 - 19:35",
"At, or To Take Regret: Some Reflections on Grammars","Johannah Rodgers",2016,"05/29/2021 - 19:19",
Undaunted,"Johannah Rodgers",2020,"05/29/2021 - 19:11",
"From Text to Textonomies: Writing With Roland Barthes' ""De l'Oeuvre à Texte,"" With or Without Quotation Marks","Johannah Rodgers",2014,"05/29/2021 - 18:56",
"Poemas Lanzados (v2)","José Ignacio López Ramírez-Gastón",2006,"06/10/2021 - 14:48","visual poetry, sound poetry"
Ro(s/z)a,"José Aburto",2004,"05/27/2021 - 23:04","visual poetry, digital poetry, permutational"
Babel,"Michael Hurtado",2021,"05/27/2021 - 22:23",
Metaversos,"Enrique Béo",2021,"05/27/2021 - 22:19",
"Vocales Orbitando un Poema","Michael Hurtado",2019,"05/27/2021 - 22:17","visual poetry, digital poetry, vowels"
1:,"Andy Campbell",,"06/05/2021 - 13:36",
Stasssis,"Andy Campbell",,"05/27/2021 - 17:30","webgl, dreams, chess, dark, psychologcial"
"Speak, Pen","Yuzhu Chai",2020,"05/27/2021 - 16:26","web tool, drawing, Paintbrush, interactive, visual poetry, DIY"
"Leaning Haiku","Praveen Sinha",2020,"05/26/2021 - 18:54",
"GliaPoetryTests-2 GPT-2 Poetry Tests (Spring, 2019)","David Jhave Johnston",2019,"05/25/2021 - 20:21","artificial intelligence, video poetry"
"A Platform to Come - Transcreating Deleuze's Bergsonism","Brent Cox",,"05/24/2021 - 13:15","translation, project, google slides, gif"
"Me, Myself and I in Dystopia","Cecilia Suhr",2021,"05/24/2021 - 12:58","interactive, interactive survival game, audio-visual music performance, YouTube"
"infinity texts","Jörg Piringer",2021,"05/24/2021 - 12:15",
Oneirografia,"Andréa Catrópa",2021,"05/25/2021 - 15:50","COVID-19, 3D, randomly-generated, dream"
Voorop,"Dirk Vis",2010,"05/21/2021 - 15:56","push, pull, poem, reader, movement, unnoticed"
"Wachtwoord Marco Polo","Dirk Vis",2012,"05/21/2021 - 15:37","poem, browser, internet poem, interactive landscape, bicycle, letters, musings, traveler, train, memoriy"
Krak,"Dirk Vis, K. Michel",2013,"05/21/2021 - 15:19","moving poem, colourful, poem, installation"
"Port Bou","Erik Lindner",2018,"05/21/2021 - 13:34","Port Bou, border, cliff, road, rock, knowledge, memory"
"In de storm van zo straks","Erik Lindner",2014,"05/21/2021 - 13:17","landscape, poem, video, video poetry, storm, nature, sand, people, silence, traffic jam, road"
Karaoke,"Ruth Verraes, Erik Lindner",2007,"05/21/2021 - 13:00","karaoke, film, walk, Taipei"
"Snelweg Sprookjes","Daan Remmerts de Vries, Joke van Leeuwen, Babette van Veen, Wilmar Versprille",2019,"05/21/2021 - 11:57","sprookjes, fairy tale, car, highway, location, locative narrative, children, imagination, screen, app, audiobook, audio"
"Árboles de Mi Desierto: Wind Songs","León De la Rosa-Carrillo",,"05/21/2021 - 00:13","recombinant poetry, remix, video poetry"
"The Trajectory Cabinet (digital version)","Jason Nelson",,"05/20/2021 - 23:46","interactive artwork"
"Not For You","Ben Grosser",,"05/20/2021 - 23:22","TikTok, netart, algorithms"
"Still I Rise: Remix","Christopher C. Odom",2020,"05/23/2021 - 14:48","interactive poetry, remix, pandemic, javascript"
"Ode to a Fallen Dialogue","Angeliki Malakasioti",2021,"05/20/2021 - 11:11","game poem, Interactive art, HTML5, dialogue"
"Directional Pilgrim","Elfie Nelson",,"05/24/2021 - 12:16","twine, hypertext poem, dystopia, apocalyptic"
"Big Data","Diego Bonilla, Rodolfo Mata",2019,"05/24/2021 - 12:17","video poem, audiovisual, future narratives, online privacy, internet of things, YouTube"
"De Poetry Compressor","Ted van Lieshout",2006,"05/17/2021 - 16:15","app, compressor, poetry, text, arrange"
"Poëzie bij eb en vloed","Patrick Lijdsman",,"05/17/2021 - 14:39","sea, poetry, video, ebb, flood, water, audio, sea-gull"
"The house in me","Maud Vanhauwaert",2019,"05/17/2021 - 14:23","home, lost, lost home, wander, room, audio, audio tour, select, lines, stories"
"Lezer,","Maud Vanhauwaert",2019,"05/17/2021 - 14:06","installation, poetry, letter, vowels, consonants, audio, video, lezer, reader, words, black and white"
"Wonderlijke Vlek","F. van Dixhoorn",2005,"05/14/2021 - 18:49","vlek, vervreemding, confusion, poetry, poem"
Bitterveld,"Liesbeth Eugelink",2015,"05/14/2021 - 16:00","app, Berlin, travel, route, map, second world war, WWII, monuments, S-Bahn, U-Bahn, traveler, commemorate, memorial, observer"
"Een hele echte","Dirk van Weelden",2019,"05/14/2021 - 12:54","email, music, AI, artificial intelligence, online, internet, human contact, authenticity, reality, asimov"
Lucebot,"Pablo Kattenberg, Benjamin Schoonenberg",2018,"05/14/2021 - 12:25","poetry, bot, AI, artificial intelligence, Lucebert, confusion"
"A Web Odyssey","Serge Bouchardon",2021,"05/24/2021 - 08:17","interactive narrative, navigational interface, social media, digital technologies"
"Ver Binnen","Karin Anema",2018,"05/10/2021 - 15:57","VR, oculus rift, Oculus Rift Virtual Reality, spatial experience, schizophrenia, psychosis, place, outsider, app, control, anxiety"
"Nee mijn verhaal ja",,2019,"05/10/2021 - 11:47","oculus rift, Oculus Rift Virtual Reality, story, perspectives"
"Nee mijn verhaal ja","Micha Hamel",2019,"05/10/2021 - 11:30",
Bots,"Maartje Smits",2017,"05/10/2021 - 10:44","poetry, chatbot, bot, nature, ecology, motherhood, authorship"
Coronary,"Giselle Beiguelman",2020,"05/20/2021 - 23:06",
"complete Covid-19-genome as a soundpoem","Jörg Piringer",2020,"05/20/2021 - 11:28","COVID-19, virus, sound, sound poetry, sound art"
"Sentenced to Covid: Voices of the Pandemic","Alan Bigelow",2020,"05/06/2021 - 15:17","COVID-19, lockdown, pandemic, HTML, text"
Breathing,"Andanconnerdercu's Utterings, Annie Abrahams, Constança Carvalho Homem, Curt Cloninger, Nerina Cocchi, Daniel Pinheiro, Derek Piotr",2020,"05/20/2021 - 23:08","networked performance"
"Confinement Spaces: Isolation. and Loss in the Pandemic","Patrick Lichty",2020,"05/05/2021 - 14:03","visual narrative, lockdown, COVID-19, COVID-era isolation, 3D, Dubai, virtual geographies"
"Till Next Time","Samprikta Ganguli",2018,"05/02/2021 - 18:10","suicide awareness, anorexia, disability, pride, anxiety disorder, bullying awareness, teen fiction, young adult, male abuse, sexual assault"
"Wall Art in Rajasthan","Soham Deb",2020,"05/01/2021 - 08:14","Rajasthan, Wall art, Jaipur, Mount Abu, Udaipur"
"The (auto)biography of 김정은","David Thomas Henry Wright, Brett Griffin",2021,"05/05/2021 - 13:19","North Korea, found material, dystopic platform, propaganda"
"In Small & Large Pieces","Kathryn Cramer",1994,"04/21/2021 - 13:49","hypertext fiction, gothic, Storyspace, Eastgate Quarterly Review of Hypertext"
"Wordstuffs: the City and the Body","Hazel Smith, Roger Dean, Greg White",1998,"04/16/2021 - 08:32",
"The Bug","Milton Läufer, Nick Montfort",2021,"04/12/2021 - 05:48","demo, glitch, multi-lingual"
"No World 4 Tomorrow","Lyle Skains",2019,"04/06/2021 - 10:43","climate change, digital pedagogy, pedagogy, climate crisis, science fiction"
Byderhand,"Franci Greyling",,"04/06/2021 - 10:36",locative
"Legends of Michigami: Prairie Chants","Marjorie C. Luesebrink, M. D. Coverley",,"03/31/2021 - 17:03","video, hyperfiction, Native American history, prairie restoration, native plants, solar gardens, Lake Michigan history"
"Clay Conversations","Hazel Smith, Joanna Still, Roger Dean",2010,"03/31/2021 - 10:35",
Intertwingling,"Hazel Smith, Roger Dean",,"03/26/2021 - 12:21","hypertext, poetry, sound"
"Time the Magician","Hazel Smith, Roger Dean",2005,"03/26/2021 - 12:00","multimedia, performance, poetry"
"The Egg The Cart The Horse The Chicken","Hazel Smith, Roger Dean",2004,"03/26/2021 - 11:34","hypertext, animation, split screen, performance, poetry"
"De steen der wijzen (Magic Stone)","John Vanderaart",1984,"03/25/2021 - 17:37","text adventure, text-based videogame"
"Nijmeegs avontuur","Wim Couwenberg",1980,"03/25/2021 - 17:20","text-based videogame, commodore 64, adventure game"
"Automatergon 72-1","Greta Monach",1973,"03/25/2021 - 15:00","computer generated poetry, visual poetry, prehistoric digital poetry, sound poetry"
Compoëzie,"Greta Monach",1973,"03/25/2021 - 14:54","computer generated poetry, prehistoric digital poetry, sound poetry, asemantic poetry"
"APPI Automatic Poetry by Pointed Information: Poëzie met een Computer","Gerrit Krol",1971,"03/25/2021 - 14:31","prehistoric digital poetry, computer generated book, essay"
"YOU SAY TIME IS A RIVER","Maria Barnas",2016,"03/25/2021 - 10:49","medicine, waiting room, hospital, locative poetry, typography, haiku"
"Een verre reis","Toon Tellegen",2016,"03/25/2021 - 10:13","children apps, animation"
"Extra-terrestrial Rhetoric","Lily Robert-Foley",,"03/24/2021 - 10:32",
"The Lips Are Different","Hazel Smith, Roger Dean",2020,"03/21/2021 - 02:41","multimedia, performance, poetry, sound, improvisation, racial discrimination, surveillance"
"The Character Thinks Ahead","Hazel Smith, Roger Dean",2017,"03/21/2021 - 02:42","machine learning; text generation, multimedia; performed sound; poetry; screened and performed text"
"Instabilities 2","Hazel Smith, Roger Dean",2009,"03/21/2021 - 02:47","performative multimedia work, text generation, poetry, composed and improvised sound"
soundAFFECTs,"Hazel Smith, Anne Brewster, Roger Dean",2003,"03/21/2021 - 02:53","multimedia, fictocritical, creative-critical writing, poetry, affect, emotion, improvised music"
"Heimlich Unheimlich","Hazel Smith, Roger Dean, Sieglinde Karl-Spence",2020,"03/21/2021 - 02:40","collaboration, multimedia, poetry, collage, improvised and composed music"
"Emblem/as (a tryptic)","Tina Escaja",2020,"03/12/2021 - 04:15",
Robopoem@s,"Tina Escaja, Alma Pérez",2020,"03/12/2021 - 03:50","robopoem@s, poetry, robotics"
"Código de barras. (The Only Bush I Trust is My Own)","Tina Escaja",2006,"03/12/2021 - 03:24","barcode poetry, activism, feminism"
"Códigos sin barras: La poesía como encuentro y desgarro.","Tina Escaja",2015,"03/12/2021 - 01:27",
"Carrizo Parkfield Diaries","Jeremy Hight",2005,"03/07/2021 - 02:11",
"LOW Prophet","Eamon O'Kane",2000,"05/20/2021 - 11:27","posthumanism, video art, visual art, reading, dystopic, sentience, post-humans"
